# Current abbreviations calculated in build priority: BGG ID, owned/direct name, then first two characters.
# game_name	bgg_id	abbr	source
페야의늪	438442	페야	fallback 사용
페이퍼사파리	39534	페이	ID 명시 약칭
페이퍼사파리(스모키)	39534	페이	ID 명시 약칭
펜스테르담		펜스	fallback 사용
펠리시티 자루속고양이	32125	펠리	fallback 사용
펭귄얼음깨기	225981	얼음	ID 명시 약칭
펭귄파티	56933	펭파	ID 명시 약칭
포가튼워터스	302723	포가	fallback 사용
포레스트셔플	391163	포레	fallback 사용
포비든데저트	136063	포비데	ID 명시 약칭
포비든아일랜드	65244	포비아	ID 명시 약칭
포션폭발 + 다섯번째학생 확장	180974	포션	fallback 사용
포인트샐러드 이브이에디션	274960	포인	fallback 사용
포커칩세트		포커	fallback 사용
포켓디텍티브 (1~3)	275589	포켓디	ID 명시 약칭
포켓몬사다리게임		사다리	이름 정본
포트로얄	156009	포트	fallback 사용
폭시	359318	폭시	fallback 사용
푸들택시	429662	푸들	fallback 사용
푸에르토리코 2014	3076	푸코	ID 명시 약칭
프라이머 각성	303731	프라	fallback 사용
프레스코	66188	프레	fallback 사용
프로젝트L	260180	프로	fallback 사용
프리세이지	428787	프리	fallback 사용
플래시포인트 (영)	100901	플래시	ID 명시 약칭
플립7	420087	플립7	ID 명시 약칭
플립타운	352418	플립타	ID 명시 약칭
피렌체의제후 (영)	555	피렌	fallback 사용
핀카	40628	핀카	fallback 사용
필름을감아(일)	215471	필름	fallback 사용
하나미코지	158600	하나미	ID 명시 약칭
하나비 거대한불꽃	98778	하나비	ID 명시 약칭
하다라	269144	하다	fallback 사용
하드리아누스방벽	304783	하드	fallback 사용
하모니즈	414317	하모	fallback 사용
하베스트	15390	하베	fallback 사용
하이다이브	170041	하이다	ID 명시 약칭
하이브	2655	하이브	ID 명시 약칭
하이소사이어티	220	하이소	ID 명시 약칭
하트오브크라운페어리 + 확장2	131904	하오크	ID 명시 약칭
한밤의늑대인간	147949	한밤	fallback 사용
한자토이토니카 빅박스	286749	한토토	ID 명시 약칭
할라피노	206	할라	fallback 사용
할러타우	300322	할러	fallback 사용
할리갈리	2944	할리	ID 명시 약칭
할리갈리컵스	146149	할리컵	ID 명시 약칭
할리우드골든에이지	904	할리우	ID 명시 약칭
항로개척자	434343	항로	fallback 사용
해기스	37628	해기	fallback 사용
핵클레드 + 확장	352228	핵클	fallback 사용
햄버거타이쿤	223094	햄버	fallback 사용
행복을찾아서	181687	행복	fallback 사용
행성x를찾아서	279537	행성X	ID 명시 약칭
허리컵	38504	허리	fallback 사용
허즐방탈출 Hex-it		허즐	fallback 사용
헤게모니 + 역사적사건들 확장	321608	헤게	fallback 사용
혁신의시대	383179	혁시	ID 명시 약칭
화이트채플	59959	화이	fallback 사용
황금의강(영)	399941	황금강	ID 명시 약칭
황금의땅 엘도라도	217372	엘도라	ID 명시 약칭
황하와장강	244114	황하	fallback 사용
황혼의비문	361545	황혼	fallback 사용
황혼의투쟁	12333	황투	ID 명시 약칭
후지	258308	후지	fallback 사용
휘슬마운틴	301255	휘슬	fallback 사용
히트	366013	히트	fallback 사용
