# Current abbreviations calculated in build priority: BGG ID, owned/direct name, then first two characters.
# game_name	bgg_id	abbr	source
레인보우세븐	351149	레인	fallback 사용
레일로드잉크	245654	레일잉	ID 명시 약칭
레일웨이붐	448159	레일붐	ID 명시 약칭
레즈아르카나 + 확장	262712	레즈	fallback 사용
레지사이드 레거시		레지사	이름 정본
레지스탕스 아발론	128882	아발론	ID 명시 약칭
레지스탕스 쿠	131357	쿠	ID 명시 약칭
레코 플러스		레코	fallback 사용
렉시오	19184	렉시	fallback 사용
로그		로그	fallback 사용
로나에나: 재앙의 선물	350585	로나	fallback 사용
로보77	3337	로보	fallback 사용
로빈슨크루소	121921	로빈슨	ID 명시 약칭
로스트시티	50	로스	fallback 사용
롤포더갤럭시	132531	롤포갤	ID 명시 약칭
루미큐브	811	루미	fallback 사용
루이스앤클라크	140620	루이	fallback 사용
루트 + 리버포크 확장	237182	루트	ID 명시 약칭
루트비히의 성	155426	루트비	ID 명시 약칭
루핑루이	327	루핑	fallback 사용
뤄양의사람들	39683	뤄양	ID 명시 약칭
르네상스의거장들	280453	르네	fallback 사용
르아브르	35677	르아	ID 명시 약칭
르아브르 내륙항	129051	내륙항	ID 명시 약칭
리바이브	332772	리바	fallback 사용
리버탈리아	356033	리버	fallback 사용
리볼버2	128733	리볼	fallback 사용
리코셰로봇	51	리코셰	ID 명시 약칭
마닐라	15817	마닐	fallback 사용
마라카이보	276025	마라카	ID 명시 약칭
마라케시 + 확장	342810	마라케	ID 명시 약칭
마르코폴로2	283948	마폴2	ID 명시 약칭
마법사의물약(독)	95231	마법	fallback 사용
마블좀비	351817	마블	fallback 사용
마스크맨	159581	마스	fallback 사용
마운틴고트	63975	마운	fallback 사용
마이시티	295486	마이시	ID 명시 약칭
마이티	172998	마이티	ID 명시 약칭
마작 (미니마작)	2093	마작	ID 명시 약칭
마헤	3383	마헤	fallback 사용
맥주와빵	369880	맥주	fallback 사용
맨덤의던전	150312	맨덤	fallback 사용
메나라	244608	메나라	ID 명시 약칭
메도우 + 하류 확장	314491	메도우	ID 명시 약칭
메디치	46	메디	fallback 사용
메르브:실크로드의심장	306040	메르브	ID 명시 약칭
메모리아일랜드	371785	메모리	ID 명시 약칭
메시나1347	238799	메시나	ID 명시 약칭
메이지나이트 얼티밋 에디션	248562	메나	ID 명시 약칭
멘네페르	404431	멘네	fallback 사용
몇번이고푸른달에불을붙였다	357173	푸른달	ID 명시 약칭
모노폴리 딜럭스	7098	모노	fallback 사용
모던아트 (페가수스)	118	모던	fallback 사용
모두의마블		모두	fallback 사용
모렐	122298	모렐	fallback 사용
모아보새	245476	모아	fallback 사용
모자가아니잖아	375651	모자	ID 명시 약칭
모자익스	55834	모자익	ID 명시 약칭
